Sección,GRD,cuenta,precio_n,precio_min,precio_p25,precio_median,precio_mean,precio_p75,precio_max
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,127,127,1855963.777,1855963.777,1855963.777,1855963.777,1855963.777,1855963.777
S00-S09  TRAUMATISMOS EN LA CABEZA,014241 - MH TRAUMATISMO CEFÁLICO,121,121,993000.0,993000.0,993000.0,993000.0,993000.0,993000.0
O30-O48  ATENCIÓN MATERNA RELACIONADA CON EL FETO Y CAVIDAD AMNIÓTICA Y POSIBLES PROBLEMAS EN EL PARTO,146102 - PH CESÁREA W/CC,109,109,929276.145,929276.145,929276.145,929276.145,929276.145,929276.145
"T36-T50  ENVENENAMIENTO, EFECTO ADVERSO E INFRADOSIFICACIÓN DE FÁRMACOS, MEDICAMENTOS Y SUSTANCIAS BIOLÓGICAS",214121 - MH ENVENENAMIENTO Y EFECTO TÓXICO DE DROGAS,108,108,606900.0,606900.0,606900.0,606900.0,606900.0,606900.0
O80-O84  CONTACTO PARA EL PARTO,146132 - PH PARTO VAGINAL W/CC,106,106,559765.923,559765.923,559765.923,559765.923,559765.923,559765.923
J20-J22  OTRAS INFECCIONES AGUDAS DEL TRACTO RESPIRATORIO INFERIOR,"044213 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/MCC",105,105,1444200.0,1444200.0,1444200.0,1444200.0,1444200.0,1444200.0
S00-S09  TRAUMATISMOS EN LA CABEZA,"094131 - MH TRAUMATISMO DE PIEL, TEJIDO SUBCUTÁNEO Y MAMA",99,99,810150.0,810150.0,810150.0,810150.0,810150.0,810150.0
J40-J47  ENFERMEDADES CRÓNICAS DEL TRACTO RESPIRATORIO INFERIOR,044173 - MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA W/MCC,97,97,1282650.0,1282650.0,1282650.0,1282650.0,1282650.0,1282650.0
J20-J22  OTRAS INFECCIONES AGUDAS DEL TRACTO RESPIRATORIO INFERIOR,044183 - MH BRONQUIOLITIS Y ASMA W/MCC,95,95,873150.0,873150.0,873150.0,873150.0,873150.0,873150.0
"E65-E68  SOBREPESO, OBESIDAD Y OTROS TIPOS DE HIPERALIMENTACIÓN",061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,94,94,2020657.9127,2020657.9127,2020657.9127,2020657.9127,2020657.9127,2020657.9127
"D10-D36  TUMORES BENIGNOS, EXCEPTO TUMORES NEUROENDOCRINOS BENIGNOS",131201 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,88,88,1152535.3859,1152535.3859,1152535.3859,1152535.3859,1152535.3859,1152535.3859
I60-I69  ENFERMEDADES CEREBROVASCULARES,014142 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO W/CC,88,88,1336350.0,1336350.0,1336350.0,1336350.0,1336350.0,1336350.0
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,146102 - PH CESÁREA W/CC,85,85,929276.145,929276.145,929276.145,929276.145,929276.145,929276.145
A00-A09  ENFERMEDADES INFECCIOSAS INTESTINALES,064172 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS W/CC,84,84,821250.0,821250.0,821250.0,821250.0,821250.0,821250.0
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,146131 - PH PARTO VAGINAL,83,83,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092
E70-E88  ALTERACIONES METABÓLICAS,"091401 - PH OTRAS PROCEDIMIENTOS SOBRE PIEL, TEJIDO SUBCUTÁNEO Y MAMA",82,82,1592744.3675,1592744.3675,1592744.3675,1592744.3675,1592744.3675,1592744.3675
N30-N39  OTRAS ENFERMEDADES DEL APARATO URINARIO,114123 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/MCC,72,72,1191900.0,1191900.0,1191900.0,1191900.0,1191900.0,1191900.0
N10-N16  ENFERMEDADES RENALES TÚBULO-INTERSTICIALES,114121 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO,72,72,638700.0,638700.0,638700.0,638700.0,638700.0,638700.0
I30-I52  OTRAS FORMAS DE ENFERMEDAD CARDIACA,054122 - MH INSUFICIENCIA CARDIACA W/CC,70,70,942450.0,942450.0,942450.0,942450.0,942450.0,942450.0
"F20-F29  ESQUIZOFRENIA, TRASTORNO ESQUIZOTÍPICO, TRASTORNO DELIRANTE Y OTROS TRASTORNOS PSICÓTICOS NO RELACIONADOS CON EL ESTADO DE ÁNIMO",194101 - MH ESQUIZOFRENIA,66,66,1023600.0,1023600.0,1023600.0,1023600.0,1023600.0,1023600.0
U00-U49  ASIGNACION PROVISIONAL DE NUEVAS ENFERMEDADES DE ETIOLOGIA INCIERTA,041023 - PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,66,66,9416848.2886,9416848.2886,9416848.2886,9416848.2886,9416848.2886,9416848.2886
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,"146123 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/MCC",66,66,771700.4198,771700.4198,771700.4198,771700.4198,771700.4198,771700.4198
"O10-O16  EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, PARTO Y PUERPERIO",146101 - PH CESÁREA,65,65,833986.5124,833986.5124,833986.5124,833986.5124,833986.5124,833986.5124
I60-I69  ENFERMEDADES CEREBROVASCULARES,014141 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO,64,64,1060200.0,1060200.0,1060200.0,1060200.0,1060200.0,1060200.0
N30-N39  OTRAS ENFERMEDADES DEL APARATO URINARIO,114121 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO,64,64,638700.0,638700.0,638700.0,638700.0,638700.0,638700.0
I60-I69  ENFERMEDADES CEREBROVASCULARES,014143 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO W/MCC,64,64,2002950.0,2002950.0,2002950.0,2002950.0,2002950.0,2002950.0
K70-K77  ENFERMEDADES DE HÍGADO,074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,63,63,1757700.0,1757700.0,1757700.0,1757700.0,1757700.0,1757700.0
N80-N98  TRASTORNOS NO INFLAMATORIOS DEL TRACTO GENITAL FEMENINO,131201 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,63,63,1152535.3859,1152535.3859,1152535.3859,1152535.3859,1152535.3859,1152535.3859
I20-I25  ENFERMEDADES ISQUÉMICAS CARDIACAS,054103 - MH INFARTO AGUDO DE MIOCARDIO W/MCC,63,63,1627800.0,1627800.0,1627800.0,1627800.0,1627800.0,1627800.0
N80-N98  TRASTORNOS NO INFLAMATORIOS DEL TRACTO GENITAL FEMENINO,131301 - PH HISTERECTOMIA VAGINAL Y OTROS PROCEDIMIENTOS POR VIA VAGINAL,61,61,1036375.8678,1036375.8678,1036375.8678,1036375.8678,1036375.8678,1036375.8678
"T36-T50  ENVENENAMIENTO, EFECTO ADVERSO E INFRADOSIFICACIÓN DE FÁRMACOS, MEDICAMENTOS Y SUSTANCIAS BIOLÓGICAS",214122 - MH ENVENENAMIENTO Y EFECTO TÓXICO DE DROGAS W/CC,61,61,744000.0,744000.0,744000.0,744000.0,744000.0,744000.0
N10-N16  ENFERMEDADES RENALES TÚBULO-INTERSTICIALES,114122 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/CC,61,61,855150.0,855150.0,855150.0,855150.0,855150.0,855150.0
K70-K77  ENFERMEDADES DE HÍGADO,"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",58,58,1834650.0,1834650.0,1834650.0,1834650.0,1834650.0,1834650.0
O30-O48  ATENCIÓN MATERNA RELACIONADA CON EL FETO Y CAVIDAD AMNIÓTICA Y POSIBLES PROBLEMAS EN EL PARTO,134161 - MH TRASTORNOS DEL ANTEPARTO,58,58,442650.0,442650.0,442650.0,442650.0,442650.0,442650.0
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,57,57,869850.0,869850.0,869850.0,869850.0,869850.0,869850.0
K90-K95  OTRAS ENFERMEDADES DEL APARATO DIGESTIVO,064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,56,56,1644300.0,1644300.0,1644300.0,1644300.0,1644300.0,1644300.0
O30-O48  ATENCIÓN MATERNA RELACIONADA CON EL FETO Y CAVIDAD AMNIÓTICA Y POSIBLES PROBLEMAS EN EL PARTO,146103 - PH CESÁREA W/MCC,56,56,1324509.7143,1324509.7143,1324509.7143,1324509.7143000003,1324509.7143,1324509.7143
K40-K46  HERNIA,061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,55,55,1313993.8805,1313993.8805,1313993.8805,1313993.8805,1313993.8805,1313993.8805
A00-A09  ENFERMEDADES INFECCIOSAS INTESTINALES,064171 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS,54,54,646050.0,646050.0,646050.0,646050.0,646050.0,646050.0
N17-N19  FALLO RENAL AGUDO Y ENFERMEDAD RENAL CRÓNICA,114102 - MH NEOPLASIA DE RIÑÓN Y TRACTO URINARIO E INSUFICIENCIA RENAL W/CC,54,54,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
O80-O84  CONTACTO PARA EL PARTO,146101 - PH CESÁREA,53,53,833986.5124,833986.5124,833986.5124,833986.5124,833986.5124,833986.5124
J96-J99  OTRAS ENFERMEDADES DEL APARATO RESPIRATORIO,044113 - MH FALLA RESPIRATORIA W/MCC,53,53,1851000.0,1851000.0,1851000.0,1851000.0,1851000.0,1851000.0
K35-K38  ENFERMEDADES DEL APÉNDICE,061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,52,52,1682533.4101,1682533.4101,1682533.4101,1682533.4100999997,1682533.4101,1682533.4101
J09-J18  GRIPE Y NEUMONÍA,044162 - MH NEUMONÍA SIMPLE Y TOS FERINA W/CC,51,51,925800.0,925800.0,925800.0,925800.0,925800.0,925800.0
I20-I25  ENFERMEDADES ISQUÉMICAS CARDIACAS,054102 - MH INFARTO AGUDO DE MIOCARDIO W/CC,51,51,1061400.0,1061400.0,1061400.0,1061400.0,1061400.0,1061400.0
"O10-O16  EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, PARTO Y PUERPERIO",134161 - MH TRASTORNOS DEL ANTEPARTO,50,50,442650.0,442650.0,442650.0,442650.0,442650.0,442650.0
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,50,50,2691244.5458,2691244.5458,2691244.5458,2691244.5458,2691244.5458,2691244.5458
E08-E14  DIABETES MELLITUS,081301 - PH PROCEDIMIENTOS SOBRE PIE,50,50,1627203.946,1627203.946,1627203.946,1627203.946,1627203.946,1627203.946
J40-J47  ENFERMEDADES CRÓNICAS DEL TRACTO RESPIRATORIO INFERIOR,044183 - MH BRONQUIOLITIS Y ASMA W/MCC,50,50,873150.0,873150.0,873150.0,873150.0,873150.0,873150.0
I26-I28  ENFERMEDAD PULMONAR CARDIACA Y ENFERMEDADES DE LA CIRCULACIÓN PULMONAR,044123 - MH EMBOLISMO PULMONAR W/MCC,49,49,1655700.0,1655700.0,1655700.0,1655700.0,1655700.0,1655700.0
A30-A49  OTRAS ENFERMEDADES BACTERIANAS,184103 - MH SEPTICEMIA W/MCC,47,47,2104800.0,2104800.0,2104800.0,2104800.0,2104800.0,2104800.0
N60-N65  TRASTORNOS DE LA MAMA,091501 - PH PROCEDIMIENTOS SOBRE MAMA,46,46,1609893.2657,1609893.2657,1609893.2657,1609893.2657,1609893.2657,1609893.2657
I20-I25  ENFERMEDADES ISQUÉMICAS CARDIACAS,054101 - MH INFARTO AGUDO DE MIOCARDIO,46,46,877950.0,877950.0,877950.0,877950.0,877950.0,877950.0
O94-O9A  OTRAS AFECCIONES OBSTÉTRICAS NO CLASIFICADAS BAJO OTRO CONCEPTO,134161 - MH TRASTORNOS DEL ANTEPARTO,46,46,442650.0,442650.0,442650.0,442650.0,442650.0,442650.0
N10-N16  ENFERMEDADES RENALES TÚBULO-INTERSTICIALES,114123 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/MCC,46,46,1191900.0,1191900.0,1191900.0,1191900.0,1191900.0,1191900.0
K90-K95  OTRAS ENFERMEDADES DEL APARATO DIGESTIVO,064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,45,45,1010400.0,1010400.0,1010400.0,1010400.0,1010400.0,1010400.0
F30-F39  TRASTORNOS DEL ESTADO DE ÁNIMO [AFECTIVOS],194131 - MH TRASTORNO BIPOLAR,45,45,728100.0,728100.0,728100.0,728100.0,728100.0,728100.0
K55-K64  OTRAS ENFERMEDADES DE LOS INTESTINOS,"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",44,44,798450.0,798450.0,798450.0,798450.0,798450.0,798450.0
E08-E14  DIABETES MELLITUS,104101 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES,43,43,598500.0,598500.0,598500.0,598500.0,598500.0,598500.0
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,43,43,1199100.0,1199100.0,1199100.0,1199100.0,1199100.0,1199100.0
N30-N39  OTRAS ENFERMEDADES DEL APARATO URINARIO,114122 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/CC,42,42,855150.0,855150.0,855150.0,855150.0,855150.0,855150.0
O30-O48  ATENCIÓN MATERNA RELACIONADA CON EL FETO Y CAVIDAD AMNIÓTICA Y POSIBLES PROBLEMAS EN EL PARTO,146131 - PH PARTO VAGINAL,42,42,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092
K55-K64  OTRAS ENFERMEDADES DE LOS INTESTINOS,061501 - PH PROCEDIMIENTOS SOBRE ANO,41,41,986870.5578,986870.5578,986870.5578,986870.5578000001,986870.5578,986870.5578
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,40,40,807150.0,807150.0,807150.0,807150.0,807150.0,807150.0
L00-L08  INFECCIONES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,094121 - MH CELULITIS,40,40,628950.0,628950.0,628950.0,628950.0,628950.0,628950.0
K40-K46  HERNIA,061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,40,40,1092999.5883,1092999.5883,1092999.5883,1092999.5883,1092999.5883,1092999.5883
O20-O29  OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO,134162 - MH TRASTORNOS DEL ANTEPARTO W/CC,40,40,588450.0,588450.0,588450.0,588450.0,588450.0,588450.0
J09-J18  GRIPE Y NEUMONÍA,044161 - MH NEUMONÍA SIMPLE Y TOS FERINA,39,39,612600.0,612600.0,612600.0,612600.0,612600.0,612600.0
K90-K95  OTRAS ENFERMEDADES DEL APARATO DIGESTIVO,064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,39,39,730800.0,730800.0,730800.0,730800.0,730800.0,730800.0
E08-E14  DIABETES MELLITUS,104103 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES W/MCC,38,38,1312950.0,1312950.0,1312950.0,1312950.0,1312950.0,1312950.0
I30-I52  OTRAS FORMAS DE ENFERMEDAD CARDIACA,054192 - MH TRASTORNOS DE LA CONDUCCIÓN Y ARRITMIAS CARDIACAS W/CC,37,37,848850.0,848850.0,848850.0,848850.0,848850.0,848850.0
K40-K46  HERNIA,061122 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/CC,37,37,1670237.9736,1670237.9736,1670237.9736,1670237.9736,1670237.9736,1670237.9736
O00-O08  EMBARAZO CON RESULTADO ABORTIVO,134131 - MH ABORTO,37,37,452400.0,452400.0,452400.0,452400.0,452400.0,452400.0
E08-E14  DIABETES MELLITUS,104102 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES W/CC,37,37,861000.0,861000.0,861000.0,861000.0,861000.0,861000.0
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,146103 - PH CESÁREA W/MCC,36,36,1324509.7143,1324509.7143,1324509.7143,1324509.7143,1324509.7143,1324509.7143
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,134141 - MH AMENAZA DE ABORTO,36,36,466050.0,466050.0,466050.0,466050.0,466050.0,466050.0
O94-O9A  OTRAS AFECCIONES OBSTÉTRICAS NO CLASIFICADAS BAJO OTRO CONCEPTO,146103 - PH CESÁREA W/MCC,36,36,1324509.7143,1324509.7143,1324509.7143,1324509.7143,1324509.7143,1324509.7143
O00-O08  EMBARAZO CON RESULTADO ABORTIVO,131201 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,35,35,1152535.3859,1152535.3859,1152535.3859,1152535.3859,1152535.3859,1152535.3859
O00-O08  EMBARAZO CON RESULTADO ABORTIVO,"131112 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO W/CC",35,35,1079733.4595,1079733.4595,1079733.4595,1079733.4595,1079733.4595,1079733.4595
O20-O29  OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO,146131 - PH PARTO VAGINAL,34,34,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092
N17-N19  FALLO RENAL AGUDO Y ENFERMEDAD RENAL CRÓNICA,114103 - MH NEOPLASIA DE RIÑÓN Y TRACTO URINARIO E INSUFICIENCIA RENAL W/MCC,34,34,1769850.0,1769850.0,1769850.0,1769850.0,1769850.0,1769850.0
"E65-E68  SOBREPESO, OBESIDAD Y OTROS TIPOS DE HIPERALIMENTACIÓN",061202 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/CC,33,33,2585115.5154,2585115.5154,2585115.5154,2585115.5154,2585115.5154,2585115.5154
J40-J47  ENFERMEDADES CRÓNICAS DEL TRACTO RESPIRATORIO INFERIOR,044172 - MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA W/CC,32,32,945300.0,945300.0,945300.0,945300.0,945300.0,945300.0
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,32,32,1724250.0,1724250.0,1724250.0,1724250.0,1724250.0,1724250.0
"O10-O16  EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, PARTO Y PUERPERIO",146103 - PH CESÁREA W/MCC,32,32,1324509.7143,1324509.7143,1324509.7143,1324509.7143,1324509.7143,1324509.7143
P19-P29  TRASTORNOS RESPIRATORIOS Y CARDIOVASCULARES ESPECÍFICOS DEL PERÍODO PERINATAL,"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",32,32,158250.0,158250.0,158250.0,158250.0,158250.0,158250.0
P19-P29  TRASTORNOS RESPIRATORIOS Y CARDIOVASCULARES ESPECÍFICOS DEL PERÍODO PERINATAL,"044211 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO",32,32,630450.0,630450.0,630450.0,630450.0,630450.0,630450.0
A00-A09  ENFERMEDADES INFECCIOSAS INTESTINALES,064173 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS W/MCC,31,31,1086450.0,1086450.0,1086450.0,1086450.0,1086450.0,1086450.0
P70-P75  TRASTORNOS ENDOCRINOS Y METABÓLICOS TRANSITORIOS ESPECÍFICOS DEL RECIÉN NACIDO,"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",31,31,158250.0,158250.0,158250.0,158250.0,158250.0,158250.0
L00-L08  INFECCIONES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,094122 - MH CELULITIS W/CC,31,31,903900.0,903900.0,903900.0,903900.0,903900.0,903900.0
F30-F39  TRASTORNOS DEL ESTADO DE ÁNIMO [AFECTIVOS],194111 - MH DEPRESIÓN MAYOR,30,30,618600.0,618600.0,618600.0,618600.0,618600.0,618600.0
N20-N23  LITIASIS URINARIA,114132 - MH LITIASIS RENAL W/CC,30,30,789000.0,789000.0,789000.0,789000.0,789000.0,789000.0
E70-E88  ALTERACIONES METABÓLICAS,"091402 - PH OTRAS PROCEDIMIENTOS SOBRE PIEL, TEJIDO SUBCUTÁNEO Y MAMA W/CC",30,30,2369460.0312,2369460.0312,2369460.0312,2369460.0312,2369460.0312,2369460.0312
O94-O9A  OTRAS AFECCIONES OBSTÉTRICAS NO CLASIFICADAS BAJO OTRO CONCEPTO,"146123 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/MCC",30,30,771700.4198,771700.4198,771700.4198,771700.4198,771700.4198,771700.4198
O94-O9A  OTRAS AFECCIONES OBSTÉTRICAS NO CLASIFICADAS BAJO OTRO CONCEPTO,146133 - PH PARTO VAGINAL W/MCC,29,29,808910.2933,808910.2933,808910.2933,808910.2933,808910.2933,808910.2933
U00-U49  ASIGNACION PROVISIONAL DE NUEVAS ENFERMEDADES DE ETIOLOGIA INCIERTA,044152 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/CC,29,29,1434150.0,1434150.0,1434150.0,1434150.0,1434150.0,1434150.0
N40-N53  ENFERMEDADES DE LOS ÓRGANOS GENITALES MASCULINOS,124111 - MH ENF. DEL APARATO REPRODUCTOR MASCULINO EXCEPTO NEOPLASIA,28,28,590250.0,590250.0,590250.0,590250.0,590250.0,590250.0
N20-N23  LITIASIS URINARIA,114131 - MH LITIASIS RENAL,28,28,590250.0,590250.0,590250.0,590250.0,590250.0,590250.0
U00-U49  ASIGNACION PROVISIONAL DE NUEVAS ENFERMEDADES DE ETIOLOGIA INCIERTA,041013 - PH ECMO VENTILACIÓN MECÁNICA PROLONGADA CON TRAQUEOSTOMÍA W/MCC,28,28,18935781.0561,18935781.0561,18935781.0561,18935781.0561,18935781.0561,18935781.0561
F30-F39  TRASTORNOS DEL ESTADO DE ÁNIMO [AFECTIVOS],194141 - MH DEPRESIÓN,28,28,489300.0,489300.0,489300.0,489300.0,489300.0,489300.0
N80-N98  TRASTORNOS NO INFLAMATORIOS DEL TRACTO GENITAL FEMENINO,134121 - MH OTRAS ENFERMEDADES DEL APARATO REPRODUCTOR FEMENINO,27,27,658950.0,658950.0,658950.0,658950.0,658950.0,658950.0
K55-K64  OTRAS ENFERMEDADES DE LOS INTESTINOS,064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,27,27,730800.0,730800.0,730800.0,730800.0,730800.0,730800.0
N80-N98  TRASTORNOS NO INFLAMATORIOS DEL TRACTO GENITAL FEMENINO,"131111 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",27,27,845634.8206,845634.8206,845634.8206,845634.8206,845634.8206,845634.8206
E08-E14  DIABETES MELLITUS,081022 - PH AMPUTACIÓN W/CC,26,26,2272552.578,2272552.578,2272552.578,2272552.578,2272552.578,2272552.578
E08-E14  DIABETES MELLITUS,054151 - MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS,26,26,702450.0,702450.0,702450.0,702450.0,702450.0,702450.0
